Stations_ID,Survey_ID,Station,Station_Start_Time,Temperature,Barometer,Fog,Wind_Speed,Broadcast_Species,Background_Noise,Station_Comments
12,11,EI1.1,18:30:00,28,34.94,0,0,Pacific Screech Owl,2,Cicadas.
13,11,EI1.2,18:58:00,27,34.94,0,0,Mottled Owl,0,
14,11,EI1.3,19:16:00,27,34.94,0,0,Crested Owl,2,Cicadas.
15,11,EI1.4,19:36:00,27,34.96,0,0,Black and White Owl,0,
16,11,EI1.5,19:55:00,26,34.96,0,0,Spectacled Owl,0,Falda de Mt. de Guyuval.
17,11,EI1.6,20:18:00,27,34.85,0,0,Pacific Screech Owl,1,Muous.
18,11,EI1.7,20:38:00,26,34.84,0,0,Mottled Owl,0,Mottled owl on way from point 6 to 7.
19,11,EI1.8,21:02:00,26,34.79,0,0,Crested Owl,0,Road.
20,11,EI1.9,21:27:00,25,34.78,0,0,Black and White Owl,0,Road.
21,11,EI1.10,21:52:00,26,34.59,0,0,Spectacled Owl,0,Road
22,13,EI1.1,18:28:00,27,34.98,0,0,Pacific Screech Owl,2,Cicadas;5-6:30 pm at pt.1 & no Fer. Pygmy Owl vocalizations - usually hear
23,13,EI1.2,18:47:00,26,34.94,0,0,Mottled Owl,0,Caballero & cicadas;moonlight can see well
24,13,EI1.3,19:04:00,26,35.01,0,0,Crested Owl,0,Pucuyo; all of a sudden got dark-clouds&can hear thunder
25,13,EI1.4,19:32:00,26,34.99,0,0,Black and White Owl,0,Pacific Screech Owl on path to pt. 4 ~ 5 m. from path -only vocalized once & not record
26,13,EI1.5,19:51:00,26,34.93,0,0,Spectacled Owl,0,looks like rain in clouds; can see a few stars
27,13,EI1.6,20:12:00,26,34.88,0,0,Pacific Screech Owl,0,Muyuo
28,13,EI1.7,20:38:00,26,34.85,0,0,Mottled Owl,0,Heard Micoleon just as leaving point.
29,13,EI1.8,21:13:00,25,34.85,0,0,Crested Owl,0,
30,13,EI1.9,21:31:00,26,34.72,0,0,Black and White Owl,0,Muyo
31,13,EI1.10,21:52:00,26,34.68,0,0,Spectacled Owl,0,
32,14,EI2.1,18:52:00,25,33.19,75,0,Pacific Screech Owl,0,
33,14,EI2.2,19:09:00,23,0,75,0,Mottled Owl,0,
34,14,EI2.3,19:27:00,23,0,75,0,Crested Owl,0,
35,14,EI2.4,19:46:00,23,33.38,0,0,Black and White Owl,0,
36,14,EI2.5,20:08:00,24,0,0,0,Spectacled Owl,0,Can see by light of moon
37,14,EI2.6,20:24:00,24,33.46,0,0,Pacific Screech Owl,0,
38,14,EI2.7,20:48:00,24,33.53,0,0,Mottled Owl,0,
39,14,EI2.8,21:09:00,24,33.59,0,0,Crested Owl,1,dogs barking; Micleon at 2119hrs.
40,14,EI2.9,21:31:00,23,33.83,0,0,Black and White Owl,0,
41,14,EI2.10,21:53:00,24,33.85,0,0,Spectacled Owl,0,Muyuos (2 different vocalizations)
42,15,EI2.1,18:33:00,25,33.18,0,0,Pacific Screech Owl,0,Dogs Naranjito; clear - lots of moon light
43,15,EI2.2,18:48:00,23,33.18,0,0,Mottled Owl,0,Dogs Naranjito
44,15,EI2.3,19:03:00,23,33.24,0,0,Crested Owl,0,Dogs Naranjito
45,15,EI2.4,19:18:00,22,33.32,0,0,Black and White Owl,0,
46,15,EI2.5,19:36:00,22,33.39,0,0,Spectacled Owl,0,
47,15,EI2.6,19:52:00,24,33.48,0,0,Pacific Screech Owl,0,
48,15,EI2.7,20:18:00,23,33.59,0,0,Mottled Owl,0,Micoleon
49,15,EI2.8,20:34:00,23,33.64,0,0,Crested Owl,0,
50,15,EI2.9,20:57:00,23,33.71,0,0,Black and White Owl,0,
51,15,EI2.10,21:20:00,23,33.95,0,0,Spectacled Owl,0,
52,16,N1.1,19:00:00,30,37.14,0,0,Pacific Screech Owl,2,Pucuyos at river area; loud frogs in river; urone -same family as tasquisine; burn area
53,16,N1.2,19:18:00,29,0,0,0,Mottled Owl,2,Pucuyos &  loud frogs in river area; burn area
54,16,N1.3,19:34:00,28,0,0,0,Crested Owl,2,Loud frogs in river area; burn area
55,16,N1.4,19:49:00,28,37.18,0,0,Black and White Owl,2,Guase 1951 hrs. - 200 m. south; burn area
56,16,N1.5,20:09:00,28,37.19,0,0,Spectacled Owl,2,pucyos; out of burn area
57,16,N1.6,20:27:00,28,37.2,0,0,Pacific Screech Owl,0,recorded pucuyos
58,16,N1.7,20:44:00,28,37.22,0,0,Mottled Owl,0,pucuyo
59,16,N1.8,21:01:00,27,37.23,0,0,Crested Owl,0,two chacalacas
60,16,N1.9,21:18:00,27,0,0,0,Black and White Owl,0,
61,16,N1.10,21:33:00,27,37.25,0,0,Spectacled Owl,0,people camping on river
62,17,N1.1,18:45:00,30,37.11,0,0,Pacific Screech Owl,1,"Frogs loud, Pucuyos; burn area"
63,17,N1.2,19:02:00,28,37.13,0,0,Mottled Owl,1,Frogs loud; burn area
64,17,N1.3,19:18:00,28,37.14,0,0,Crested Owl,2,Frogs loud; chacalacas; burn area
65,17,N1.4,19:38:00,28,37.14,0,0,Black and White Owl,2,Frogs loud; Pucuyos; burn area
66,17,N1.5,19:59:00,28,37.14,0,0,Spectacled Owl,2,Frogs loud; Pucuyos; out of the burn area
67,17,N1.6,20:28:00,27,37.15,0,0,Pacific Screech Owl,1,Pucuyos
68,17,N1.7,20:37:00,27,37.16,0,0,Mottled Owl,1,
69,17,N1.8,20:56:00,26,37.18,0,0,Crested Owl,1,Laughing Falcon 30 m. east
70,17,N1.9,21:14:00,26,37.18,0,0,Black and White Owl,1,Pucuyo
71,17,N1.10,21:29:00,26,37.19,0,0,Spectacled Owl,1,Pucuyo
72,18,N2.1,18:45:00,30,37.08,0,0,Pacific Screech Owl,0,
73,18,N2.2,19:04:00,30,37.08,0,0,Mottled Owl,0,
74,18,N2.3,19:24:00,30,37.09,0,0,Crested Owl,0,
75,18,N2.4,19:45:00,30,37.11,0,0,Black and White Owl,1,Can hear people and radio a distance.
76,18,N2.5,20:02:00,28,37.13,0,0,Spectacled Owl,0,
77,18,N2.6,20:23:00,28,37.12,0,0,Pacific Screech Owl,0,
78,18,N2.7,20:43:00,28,37.12,0,0,Mottled Owl,0,
79,18,N2.8,21:04:00,28,37.13,0,0,Crested Owl,0,Recorded owls
80,18,N2.9,21:25:00,28,37.15,0,0,Black and White Owl,0,Recorded owls; Pucuyo
81,18,N2.10,21:47:00,28,37.15,0,0,Spectacled Owl,0,
82,19,N2.1,18:45:00,32,37.13,0,0,Pacific Screech Owl,0,
83,19,N2.2,19:10:00,30,37.16,0,0,Mottled Owl,0,Heard Spectacled Owl between points # 1 & 2
84,19,N2.3,19:31:00,30,37.16,0,0,Crested Owl,0,
85,19,N2.4,19:48:00,29,37.16,0,0,Black and White Owl,0,Recorded owl
86,19,N2.5,20:09:00,30,37.17,0,0,Spectacled Owl,0,
87,19,N2.6,20:30:00,28,0,0,0,Pacific Screech Owl,1,Dogs; Recorded Mottled Owl
88,19,N2.7,20:57:00,28,37.17,0,0,Mottled Owl,0,Recorded
89,19,N2.8,21:21:00,28,37.17,0,0,Crested Owl,1,people on river at beginning; Pucuyo
90,19,N2.9,21:40:00,27,37.18,0,0,Black and White Owl,0,pucuyo
91,19,N2.10,22:04:00,27,37.18,0,0,Spectacled Owl,0,Heard a Pacific Screech Owl between points 9 & 10
92,20,EI1.1,18:20:00,28,0,0,0,Pacific Screech Owl,1,Chicharas - occasional; Muos 300 m. south at 8 minutes
93,20,EI1.2,18:41:00,28,0,0,0,Mottled Owl,1,Chichara
94,20,EI1.3,18:56:00,27,0,0,0,Crested Owl,0,Muos after 5 minutes
95,20,EI1.4,19:14:00,27,0,0,0,Black and White Owl,1,
96,20,EI1.5,19:33:00,26,0,0,0,Spectacled Owl,0,Cleared up - can see the stars; problems with original tape
97,20,EI1.6,20:01:00,26,0,0,0,Pacific Screech Owl,0,
98,20,EI1.7,20:28:00,26,0,0,0,Mottled Owl,1,
100,20,EI1.9,20:45:00,26,0,0,0,Black and White Owl,0,
101,20,EI1.10,21:20:00,26,0,0,0,Spectacled Owl,0,Had problems with the duplicate tape
102,21,EI1.1,18:23:00,27,945,0,0,Pacific Screech Owl,0,Cerca casa de Manuel Vasquez
103,21,EI1.2,18:47:00,26,944,0,0,Mottled Owl,0,Cerca casa donde vivio Francisco Vasquez; Recorded before observation period (2 screech Owls & 1 Pygmy Owl)
104,21,EI1.3,19:08:00,26,944,0,0,Crested Owl,0,Cerca de aguate donde vivio Francisco Vasquez
105,21,EI1.4,19:30:00,27,945,0,0,Black and White Owl,0,Cerca arbol de Cedro - that had a nest in it in the past
106,21,EI1.5,19:52:00,26,0,0,0,Spectacled Owl,0,El Potrero Lome de Paja
107,21,EI1.6,20:13:00,26,0,0,0,Pacific Screech Owl,0,La Montana Narjano Limo
108,21,EI1.7,20:39:00,26,0,0,0,Mottled Owl,0,Mt. de Rancho Quemado
109,21,EI1.8,21:12:00,27,941,0,0,Crested Owl,0,Montana de Rancho Quemado - por mango
110,21,EI1.9,21:33:00,25,938,0,0,Black and White Owl,0,El dentro del queva del Pedradron
111,21,EI1.10,21:53:00,25,933,0,0,Spectacled Owl,0,Cerca del arbol de Copenol de Pedradron
112,22,EI2.1,18:58:00,25,0,0,0,Pacific Screech Owl,0,Radio a long ways out
113,22,EI2.2,19:14:00,25,0,0,0,Mottled Owl,0,
114,22,EI2.3,19:31:00,24,0,0,0,Crested Owl,0,On way to point 3 heard a Mottled Owl close to Pt. 3 to 250 m. south
115,22,EI2.4,19:52:00,23,0,0,0,Black and White Owl,0,Dark colored opossum (tasquisine negra) 50 m North of pt.5
116,22,EI2.5,20:11:00,24,0,0,0,Spectacled Owl,1,2 Muyos to north 600 meters vocalizing ; a little noise from house
117,22,EI2.6,20:29:00,24,0,0,0,Pacific Screech Owl,0,Heard a single hoot a long wasys to the west during minute 2
118,22,EI2.7,20:50:00,24,0,0,0,Mottled Owl,2,Dogs at a distiance - Vidal thought in Naranjito
119,22,EI2.8,21:13:00,24,0,0,0,Crested Owl,0,
120,22,EI2.9,21:25:00,25,0,0,0,Black and White Owl,0,Mt. Vineal
121,22,EI2.10,22:00:00,25,0,0,0,Spectacled Owl,0,
122,23,EI2.1,18:25:00,25,896,0,0,Pacific Screech Owl,1,3 people walking by survey point@ min.8
123,23,EI2.2,18:42:00,24,896,0,0,Mottled Owl,1,one person walked by just as 2 min listening period ended; Muyuos at over 200 meters northeast
124,23,EI2.3,18:59:00,24,898,0,0,Crested Owl,0,heard a Mottled Owl at 7:12 pm on way to point # 4 above road on right
125,23,EI2.4,19:16:00,23,902,0,0,Black and White Owl,0,
126,23,EI2.5,19:35:00,24,902,0,0,Spectacled Owl,2,can hear people in house down road
127,23,EI2.6,19:53:00,26,905,0,0,Pacific Screech Owl,0,Mont. Ojo de agua
128,23,EI2.7,20:15:00,25,905,0,0,Mottled Owl,1,dogs at a distance
129,23,EI2.8,20:34:00,24,910,0,0,Crested Owl,0,
130,23,EI2.9,20:58:00,25,911,0,0,Black and White Owl,0,
131,23,EI2.10,21:20:00,24,917,0,0,Spectacled Owl,0,recorded; also recorded after the 12 min. survey period ended
132,24,N1.1,18:30:00,30,1003,0,0,Pacific Screech Owl,0,Pucuyo
133,24,N1.2,18:48:00,29,0,0,0,Mottled Owl,0,Pucuyo during first minute; ranas
134,24,N1.3,19:05:00,28,1003,0,0,Crested Owl,0,ranas; pucuyo; lightening bugs everywhere
135,24,N1.4,19:24:00,28,1003,0,0,Black and White Owl,1,Tarantula between pt. 3 and 4; ranas (frogs)
136,24,N1.5,19:42:00,28,1004,0,0,Spectacled Owl,1,Frogs
137,24,N1.6,19:59:00,29,1004,0,0,Pacific Screech Owl,1,Frogs
138,24,N1.7,20:21:00,29,1004,0,0,Mottled Owl,1,Frogs
139,24,N1.8,20:38:00,28,0,0,0,Crested Owl,1,Pucuyos/frogs
140,24,N1.9,20:53:00,28,0,0,0,Black and White Owl,1,Dogs across river; Barn Owl on way to pt.9
141,24,N1.10,21:15:00,28,1005,0,0,Spectacled Owl,1,Ranas; recorded frogs
142,25,N1.1,18:30:00,30,1005,0,0,Pacific Screech Owl,0,
143,25,N1.2,18:47:00,29,1005,0,0,Mottled Owl,0,laughing Falcon; Pucuyos; Barn Owl vocalized between points while we were  walking from point 1 to 2
144,25,N1.3,19:04:00,28,1005,0,0,Crested Owl,0,Pucuyos;Mottled Owl vocalized (6 meters South) while we were walking between points 2 &3 at 7:00 pm.
145,25,N1.4,19:21:00,28,1005,0,0,Black and White Owl,1,Some noise across the river - radio?
146,25,N1.5,19:37:00,28,1005,0,0,Spectacled Owl,0,
152,26,N2.1,18:30:00,29,0,0,0,Pacific Screech Owl,0,Burn area to the South; Heard Laughing Falcons vocalizing & insects
153,26,N2.2,18:50:00,28,1005,0,0,Mottled Owl,1,Large trucks hauling; Heard a Pygmy Owl just as leaving point - 2 short chatters
154,26,N2.3,19:07:00,29,1005,0,0,Crested Owl,0,
155,26,N2.4,19:27:00,28,1005,0,0,Black and White Owl,0,
156,26,N2.5,19:45:00,27,0,0,0,Spectacled Owl,0,
157,26,N2.6,20:02:00,27,0,0,0,Pacific Screech Owl,0,Monkey vocalizations recorded; Spectacled Owl while walking to next pt.-after 12 min. time frame
158,26,N2.7,20:36:00,28,0,0,0,Mottled Owl,1,Insects - noise; Recorded Mottled Owls
159,26,N2.8,20:55:00,27,0,0,0,Crested Owl,0,
160,26,N2.9,21:11:00,26,1006,0,0,Black and White Owl,0,
161,26,N2.10,21:26:00,25,0,0,0,Spectacled Owl,0,
162,25,N1.6,19:53:00,28,1006,0,0,Pacific Screech Owl,0,Spectacled Owl between points 6 & 7
163,25,N1.7,20:14:00,28,1006,0,0,Mottled Owl,0,
164,25,N1.8,20:30:00,27,1006,0,0,Crested Owl,0,
165,25,N1.9,20:47:00,27,1006,0,0,Black and White Owl,0,
166,25,N1.10,21:03:00,28,0,0,0,Spectacled Owl,0,
167,27,N2.1,18:30:00,31,0,0,0,Pacific Screech Owl,0,Noise - None; A few dogs ocassionally barking
168,27,N2.2,18:47:00,30,1005,0,0,Mottled Owl,0,Noise - None; A few dogs ocassionally barking
169,27,N2.3,19:05:00,29,0,0,0,Crested Owl,0,
170,27,N2.4,19:23:00,29,1006,0,0,Black and White Owl,0,
171,27,N2.5,19:48:00,28,0,0,0,Spectacled Owl,0,
172,27,N2.6,20:07:00,29,0,0,0,Pacific Screech Owl,0,
173,27,N2.7,20:26:00,0,0,0,0,Mottled Owl,2,Insects vocalizing - louder than other points
174,27,N2.8,20:45:00,28,1006,0,0,Crested Owl,0,Insects
175,27,N2.9,21:01:00,27,1007,0,0,Black and White Owl,0,"Pucuyo; One min. after data recording session heard a Ferg. Pygmy Owl, 150 m. south"
176,27,N2.10,21:19:00,27,1007,0,0,Spectacled Owl,0,
177,28,M1.1,19:00:00,18,0,0,0,,0,Chacha Negra perched & vocalizing & when flew to another perch; Oyuo vocaliz. & another in background
178,28,M1.2,19:15:00,18,0,0,0,,0,one oyuo vocal. At a distance
179,28,M1.3,19:30:00,18,0,0,5,,0,cloud cover changed to 10%; can see stars & moon
180,28,M1.4,19:44:00,17,0,0,9,,2,noise from wind
181,28,M1.5,20:00:00,17,0,0,6,,0,
182,28,M1.6,20:15:00,16,0,0,0,,0,Oyuo vocalizing
183,28,M1.7,20:30:00,17,0,0,5,,2,"At about 6 min. heard sound to the SE very long ways off - not able to hear clearly - only heard when breeze lessens, 10 min. poss.; soft hoot only"
184,28,M1.8,20:46:00,17,0,0,0,,0,Quiet except for occas. breeze - couls hear an owl but so far off that I didn't count it
185,28,M1.9,21:02:00,18,0,0,0,,0,One Oyuo during first min.
186,28,M1.10,21:17:00,20,0,0,0,,0,One oyuo during first min.
187,29,M2.1,19:00:00,20,0,0,0,,0,
188,29,M2.2,19:19:00,21,0,0,4,,0,
189,29,M2.3,19:36:00,21,0,0,0,,0,
190,29,M2.4,19:51:00,24,0,0,0,,0,
191,29,M2.5,20:06:00,21,0,0,0,,0,
192,29,M2.6,20:24:00,21,0,0,0,,0,
193,29,M2.7,20:40:00,21,0,0,0,,0,Mottled Owl  between points 6 & 7 to the NW
194,29,M2.8,20:56:00,21,0,0,0,,0,heard deer
195,29,M2.9,21:11:00,20,0,0,0,,0,
196,29,M2.10,21:27:00,0,0,0,0,,0,
197,30,EI2.1,19:00:00,23,0,20,0,,1,
198,30,EI2.2,19:17:00,25,0,0,0,,1,
199,30,EI2.3,19:33:00,25,0,0,0,,2,wind picked up at tree top level in spirts
200,30,EI2.4,19:49:00,25,0,0,0,,2,wind in canopy
201,30,EI2.5,20:06:00,25,0,0,0,,2,dogs barking - moved point down hill away from the dogs; wind in canopy
202,30,EI2.6,20:22:00,26,0,0,5,,2,Wind in canopy
203,30,EI2.7,20:41:00,25,0,0,0,,2,wind in canopy
204,30,EI2.8,21:04:00,25,0,0,0,,2,wind in canopy
205,30,EI2.9,21:23:00,25,0,0,0,,2,wind in canopy
206,30,EI2.10,21:41:00,25,0,0,0,,2,wind in canopy
207,31,EI1.1,19:00:00,27,0,0,0,,0,
208,31,EI1.2,19:15:00,27,0,0,0,,0,
209,31,EI1.3,19:33:00,27,0,0,0,,0,
210,31,EI1.4,19:53:00,27,0,0,0,,0,cloud cover changed to 50%
211,31,EI1.5,20:10:00,27,0,0,0,,0,
212,31,EI1.6,20:29:00,27,0,0,0,,2,
213,31,EI1.7,20:45:00,26,0,0,0,,0,
214,31,EI1.8,21:03:00,27,0,0,0,,0,
215,31,EI1.9,21:21:00,27,0,0,0,,0,
216,31,EI1.10,21:46:00,26,0,0,0,,0,
218,32,N1.1,19:00:00,32,0,0,0,,0,
219,32,N1.2,19:34:00,30,0,0,0,,3,Lots of wind in tree tops & lightening - hard to hear
220,32,N1.3,19:52:00,28,0,0,0,,2,Lightnening and wind in tree tops; could not hear much with storm moving through & ended transect
228,33,N2.1,18:55:00,0,0,0,0,,1,
229,33,N2.2,19:10:00,29,0,0,0,,1,Chacalaca vocalizing at 7:20 PM in 4 diff. locations; one Spectacled Owl after the 10 min. obs. Period at min. 11
230,33,N2.3,19:34:00,29,0,0,0,,1,
231,33,N2.4,19:53:00,28,0,0,0,,1,
232,33,N2.5,20:10:00,28,0,0,0,,1,Heard Laughing Falcon at 8:12 PM.
233,33,N2.6,20:38:00,28,0,0,0,,2,
234,33,N2.7,20:51:00,28,0,0,0,,1,8:55 PM heard frogs similar to owl vocalizaton; at 9 PM heard a laughing falcon vocalizing 200 m. north
235,33,N2.8,21:11:00,28,0,0,0,,1,Pucuyo & chachalaca
236,33,N2.9,21:30:00,28,0,0,0,,1,Heard Laughing Falcon 500 m. to the north at 9:31
237,33,N2.10,21:48:00,28,0,0,0,,1,
239,34,M2.1,19:00:00,19,30.27,5,0,Whiskered Screech Owl,3,Gusty wind in canopy
240,34,M2.2,19:30:00,19,30.25,5,5,Mottled Owl,3,Gusty wind in canopy
242,35,M2.1,18:00:00,23,0,45,0,Whiskered Screech Owl,0,Can hear wind in tree tops; About 500 m W Laughing Falcon; Fog moved in
243,35,M2.2,18:23:00,22,0,45,0,Mottled Owl,0,Light rain; Pucuyo @ end of silent listening period; Cusuco in brush
244,35,M2.3,18:43:00,22,0,45,0,Guat. Barred Owl,0,"Heard occasional hoot (bark like) to SE long way off - edge of forest when approaching pt. 3; light rain, thunder & some lightening; Heard same sound same direction when traveling to pt. 4."
251,36,M2.1,18:15:00,21,33.19,45,0,Whiskered Screech Owl,2,Wind in tree tops; one Paraque (Great Potoo)
252,36,M2.2,18:43:00,20,0,50,5,Mottled Owl,1,
253,36,M2.3,19:04:00,21,0,60,0,Guat. Barred Owl,2,"Could see moon thru clouds, fog in lower areas; Jet noise during 2nd min. - used extra time to not count jet"
254,36,M2.4,19:26:00,21,0,65,0,Stygian Owl,1,
255,36,M2.5,19:48:00,20,0,65,0,Great Horned Owl,0,
256,36,M2.6,20:13:00,21,0,70,0,Whiskered Screech Owl,0,
257,36,M2.7,20:35:00,20,0,75,0,Mottled Owl,0,
258,36,M2.8,20:56:00,20,0,80,0,Guat. Barred Owl,0,
259,36,M2.9,21:16:00,20,0,90,0,Stygian Owl,0,
260,36,M2.10,21:34:00,19,0,100,0,Great Horned Owl,0,Fog/Mist thick
261,37,M2.1,18:15:00,21,0,45,0,Whiskered Screech Owl,2,Wind in tree tops; Laughing Falcon at start of transect
262,37,M2.2,18:49:00,22,0,45,0,Mottled Owl,1,Looked like it would pour so packed away gear & at pt 2 took it out - reason for longer time between points
263,37,M2.3,19:07:00,22,0,45,0,Guat. Barred Owl,1,
264,37,M2.4,19:30:00,22,0,45,0,Stygian Owl,1,
265,37,M2.5,19:47:00,21,0,45,0,Great Horned Owl,1,
266,37,M2.6,20:06:00,20,0,60,0,Whiskered Screech Owl,1,Valley filled with fog
267,37,M2.7,20:24:00,20,0,60,0,Mottled Owl,1,heard: whitt whitt whitt - 3 close succession?
268,37,M2.8,20:38:00,20,0,60,0,Guat. Barred Owl,1,
269,37,M2.9,20:54:00,20,0,60,0,Stygian Owl,1,Surprised a deer
270,37,M2.10,21:08:00,20,0,100,0,Great Horned Owl,1,Pucuyo; change in fog - can hardly see in front of yourself
271,38,EI2.1,18:30:00,26,0,85,0,Pacific Screech Owl,2,Ciciadas
272,38,EI2.2,18:48:00,25,0,85,0,Mottled Owl,1,
273,38,EI2.3,19:06:00,25,0,85,0,Crested Owl,1,
274,38,EI2.4,19:25:00,25,33.34,85,0,Black and White Owl,1,Recorded owl & Muyu (up to 110 on tape)
275,38,EI2.5,19:44:00,26,33.41,85,0,Spectacled Owl,2,House nearby - Plan de Matasanos
276,38,EI2.6,20:01:00,26,33.46,85,0,Pacific Screech Owl,1,Thunder
277,38,EI2.7,20:16:00,26,33.44,85,0,Mottled Owl,1,Thunder & lightening
278,38,EI2.8,20:34:00,26,33.57,85,0,Crested Owl,1,Thunder & lightening
279,38,EI2.9,20:56:00,26,33.8,85,0,Black and White Owl,1,Thunder & lightening
280,38,EI2.10,21:14:00,26,33.93,85,0,Spectacled Owl,1,Thunder & lightening
281,39,EI1.1,18:28:00,26,34.97,0,0,Pacific Screech Owl,3,"Chicharas; thought I hard a Mottled Owl, but lot of background noise"
282,39,EI1.2,18:47:00,27,34.92,50,0,Mottled Owl,2,Muyos & Chicharas
283,39,EI1.3,19:05:00,26,0,60,0,Crested Owl,2,Muyos & Chicharas
284,39,EI1.4,19:26:00,25,34.96,60,0,Black and White Owl,1,
285,39,EI1.5,19:43:00,25,34.84,60,0,Spectacled Owl,1,
286,39,EI1.6,20:05:00,26,34.84,40,0,Pacific Screech Owl,1,Can see stars
287,39,EI1.7,20:29:00,26,34.81,40,0,Mottled Owl,1,
288,39,EI1.8,20:52:00,25,34.83,30,0,Crested Owl,1,
289,39,EI1.9,21:11:00,25,34.77,20,0,Black and White Owl,1,
290,39,EI1.10,21:43:00,26,34.6,20,0,Spectacled Owl,1,
291,40,EI2.1,18:32:00,24,0,80,0,Pacific Screech Owl,1,Chichara; Laughing Falcon vocalizing in valley below during 1st two minutes of survey
292,40,EI2.2,18:49:00,24,33.15,50,0,Mottled Owl,2,Chichara & occasional dog barking
293,40,EI2.3,19:07:00,23,0,20,0,Crested Owl,1,
294,40,EI2.4,19:24:00,23,0,80,0,Black and White Owl,1,
295,40,EI2.5,19:41:00,23,0,20,0,Spectacled Owl,1,
296,40,EI2.6,19:57:00,23,33.56,0,0,Pacific Screech Owl,1,
297,40,EI2.7,20:15:00,23,33.56,0,0,Mottled Owl,1,
298,40,EI2.8,20:35:00,22,0,0,0,Crested Owl,1,
299,40,EI2.9,20:56:00,22,0,0,0,Black and White Owl,1,
300,40,EI2.10,21:15:00,23,0,0,0,Spectacled Owl,1,
301,41,EI1.1,18:30:00,26,34.92,0,0,Pacific Screech Owl,3,"Muyos (2), Chichara & some background music"
302,41,EI1.2,18:47:00,26,0,0,0,Mottled Owl,2,Chichara
303,41,EI1.3,19:03:00,27,0,0,0,Crested Owl,2,Chicara
304,41,EI1.4,19:24:00,27,34.87,0,0,Black and White Owl,1,Muyu
305,41,EI1.5,19:41:00,27,34.87,0,0,Spectacled Owl,2,Music; Slight breeze
306,41,EI1.6,19:59:00,27,34.87,0,0,Pacific Screech Owl,1,Music below; Slight breeze
307,41,EI1.7,20:21:00,26,34.79,0,0,Mottled Owl,1,Music
308,41,EI1.8,20:43:00,27,0,0,0,Crested Owl,1,
